BIKE NAME,Accessory Name,MRP,Price,Image 1
"APRILIA RS 457","Spools M6",1000,849,""
"APRILIA TUONO 457","Spools M6",1000,849,""
"APRILIA RS 457","Swing arm sliders rear",1500,1269,""
"APRILIA TUONO 457","Swing arm sliders rear",1500,1269,""
"APRILIA RS 457","Fork sliders Front",1500,1269,""
"APRILIA TUONO 457","Fork sliders Front",1500,1269,""
"APRILIA RS 457","Frame Sliders",6000,5099,""
"APRILIA TUONO 457","Frame Sliders",6000,5099,""
"APRILIA RS 457","Rear Master Cylinder Gaurd",800,679,""
"APRILIA TUONO 457","Rear Master Cylinder Gaurd",800,679,""
"APRILIA RS 457","ALU Radiator Gaurd",4000,3399,""
"APRILIA TUONO 457","ALU Radiator Gaurd",4000,3399,""
"APRILIA RS 457","Tail Tidy",1200,1049,""
"APRILIA TUONO 457","Tail Tidy",1200,1049,""
"KTM ADVENTURE 390","Spools M10",1000,849,""
"KTM ADVENTURE 250","Spools M10",1000,849,""
"KTM ENDURO","Spools M10",1000,849,""
"KTM ADVENTURE 390","Swing arm sliders rear",1100,929,""
"KTM ADVENTURE 250","Swing arm sliders rear",1100,929,""
"KTM ENDURO","Swing arm sliders rear",1100,929,""
"KTM ADVENTURE 390","Fork sliders Front",1100,929,""
"KTM ADVENTURE 250","Fork sliders Front",1100,929,""
"KTM ENDURO","Fork sliders Front",1100,929,""
"KTM ADVENTURE 390","Frame Sliders",2500,2129,""
"KTM ADVENTURE 250","Frame Sliders",2500,2129,""
"KTM ENDURO","Frame Sliders",2500,2129,""
"KTM ADVENTURE 390","ALU Radiator Guard",3500,2999,""
"KTM ADVENTURE 250","ALU Radiator Guard",3500,2999,""
"KTM ENDURO","ALU Radiator Guard",3500,2999,""
"KTM ADVENTURE 390","Mobile Holder",1000,849,""
"KTM ADVENTURE 250","Mobile Holder",1000,849,""
"KTM ENDURO","Mobile Holder",1000,849,""
"KTM ADVENTURE 390","Side stand extender",700,700,""
"KTM ADVENTURE 250","Side stand extender",700,700,""
"KTM ENDURO","Side stand extender",700,700,""
"KTM ADVENTURE 390","Fog lamp clamp",1100,929,""
"KTM ADVENTURE 250","Fog lamp clamp",1100,929,""
"KTM ENDURO","Fog lamp clamp",1100,929,""
